Drift ID,Trip ID,Grid Cell ID,Site (MPA/ REF),Total Angler Hrs,total_fish_caught,cpue,ST_LatDD,ST_LonDD,End_LatDD,End_LonDD,drift_lat,drift_lon
FNM0910251903,FNT03_25,FN19,MPA,2.25,21,9.333333333333334,37.679130550000004,-123.00809,37.6800499,-123.00729,37.679590225,-123.00769
FNM0910252201,FNT03_25,FN22,MPA,2.5,18,7.2,37.6847496,-122.99689,37.68619919,-122.99488,37.685474395,-122.99588499999999
FNM0910252202,FNT03_25,FN22,MPA,2.5,33,13.2,37.68561935,-122.99727,37.68677902,-122.99506,37.68619918500001,-122.99616499999999
FNM0910252203,FNT03_25,FN22,MPA,2.5,28,11.2,37.68606949,-122.99751,37.68700027,-122.99522,37.686534879999996,-122.996365
FNM0917251201,FNT05_25,FN12,MPA,2.5,8,3.2,37.69903183,-122.99697,37.69916153,-122.99438,37.69909668,-122.995675
FNM0917251202,FNT05_25,FN12,MPA,2,24,12,37.70074844,-122.99529,37.69966125,-122.99456,37.700204845,-122.994925
FNM0917251203,FNT05_25,FN12,MPA,1.991666667,34,17.071129704255878,37.70277023,-122.99379,37.70201874,-122.9938,37.702394485,-122.993795
FNM0917251301,FNT05_25,FN13,MPA,2.216666667,22,9.924812028582734,37.69348907,-123.02998,37.69554901,-123.02798,37.69451904,-123.02897999999999
FNM0917251302,FNT05_25,FN13,MPA,2.2625,36,15.91160220994475,37.69475937,-123.02854,37.6960907,-123.02797,37.695425035,-123.028255
FNM0917251303,FNT05_25,FN13,MPA,2,14,7,37.69509125,-123.02773,37.69691086,-123.02749,37.696001054999996,-123.02761000000001
FNM0917251401,FNT05_25,FN14,MPA,2.5,38,15.2,37.69165039,-123.0291,37.69203186,-123.02818,37.691841124999996,-123.02864
FNM0917251402,FNT05_25,FN14,MPA,2.5,21,8.4,37.69047928,-123.02875,37.6913681,-123.0277,37.69092369,-123.02822499999999
FNM0917251403,FNT05_25,FN14,MPA,2.558333333,31,12.117263845227004,37.68944931,-123.02843,37.6908989,-123.0274,37.690174105,-123.02791500000001
FNM0917252101,FNT05_25,FN21,MPA,2.25,33,14.666666666666666,37.68592072,-123.00121,37.68659973,-122.99971,37.686260225,-123.00046
FNM0917252102,FNT05_25,FN21,MPA,2.25,23,10.222222222222221,37.68619919,-123.00124,37.68716049,-122.99883,37.68667984,-123.000035
FNM0917252103,FNT05_25,FN21,MPA,2.25,16,7.111111111111111,37.68569946,-123.00071,37.6873703,-122.99833,37.686534879999996,-122.99951999999999
FNR0819250101,FNT01_25,FN01,REF,2.25,37,16.444444444444443,37.73181915,-123.0388,37.73202133,-123.03741,37.73192024,-123.038105
FNR0819250102,FNT01_25,FN01,REF,2.25,20,8.88888888888889,37.73365021,-123.0394,37.73336029,-123.03799,37.73350525,-123.03869499999999
FNR0819250103,FNT01_25,FN01,REF,2.25,50,22.22222222222222,37.73358917,-123.03697,37.73358917,-123.03596,37.73358917,-123.03646499999999
FNR0819250601,FNT01_25,FN06,REF,2.233333333,32,14.328358211093784,37.72243118,-123.03519,37.72261047,-123.03384,37.722520825000004,-123.034515
FNR0819250602,FNT01_25,FN06,REF,2.25,10,4.444444444444445,37.72190094,-123.03346,37.72222137,-123.03181,37.722061155,-123.032635
FNR0819250603,FNT01_25,FN06,REF,2.183333333,18,8.244274810418972,37.72005081,-123.03487,37.72029114,-123.03292,37.720170975,-123.033895
FNR0910250301,FNT03_25,FN03,REF,2.233333333,26,11.6417910465137,37.72377014,-123.04583,37.72546005,-123.04552,37.724615095000004,-123.04567499999999
FNR0910250302,FNT03_25,FN03,REF,2.188333333,32,14.623000763842041,37.72312927,-123.04713,37.72489166,-123.04611,37.724010465,-123.04661999999999
FNR0910250303,FNT03_25,FN03,REF,2.411111111,39,16.17511520811867,37.72378922,-123.04819,37.72584915,-123.04572,37.724819185,-123.046955
FNR0910250901,FNT03_25,FN09,REF,2.466666667,29,11.756756755168006,37.71643066,-123.03474,37.71846008,-123.03305,37.71744537,-123.033895
FNR0910250902,FNT03_25,FN09,REF,2.377777778,17,7.149532709612193,37.71557999,-123.03384,37.71786118,-123.03146,37.716720585000004,-123.03264999999999
FNR0910250903,FNT03_25,FN09,REF,2.206666667,20,9.063444107392229,37.71615982,-123.03503,37.71857834,-123.03228,37.71736908,-123.03365500000001
FNR0911250201,FNT04_25,FN02,REF,2.65,24,9.056603773584905,37.72613144,-123.04186,37.72565842,-123.04026,37.72589493,-123.04106
FNR0911250202,FNT04_25,FN02,REF,2.708333333,51,18.830769233086862,37.72753906,-123.0417,37.72703171,-123.03967,37.727285385,-123.040685
FNR0911250203,FNT04_25,FN02,REF,2.75,21,7.636363636363637,37.72858047,-123.04213,37.72753906,-123.04019,37.728059765,-123.04115999999999
FNR0911250401,FNT04_25,FN04,REF,2.75,13,4.7272727272727275,37.71884918,-123.04771,37.71912003,-123.04597,37.718984605,-123.04684
FNR0911250402,FNT04_25,FN04,REF,2.75,35,12.727272727272727,37.72055054,-123.0468,37.72106171,-123.04462,37.720806124999996,-123.04571
FNR0911250403,FNT04_25,FN04,REF,2.75,23,8.363636363636363,37.7208519,-123.04566,37.72101974,-123.04289,37.72093582,-123.044275
FNR0911250501,FNT04_25,FN05,REF,2.716666667,23,8.466257667672851,37.72219086,-123.0411,37.72232056,-123.03914,37.72225571,-123.04012
FNR0911250502,FNT04_25,FN05,REF,2.944166667,35,11.88791395280069,37.72000885,-123.04011,37.72016907,-123.03803,37.72008896,-123.03907000000001
FNR0911250503,FNT04_25,FN05,REF,2.55,19,7.450980392156863,37.72024918,-123.04131,37.72024918,-123.03913,37.72024918,-123.04022
FNR0911250601,FNT04_25,FN06,REF,2.75,29,10.545454545454545,37.72129059,-123.03466,37.7209816,-123.03333,37.721136095000006,-123.033995
FNR0911250602,FNT04_25,FN06,REF,2.753055556,31,11.260215919885345,37.72211838,-123.0351,37.72200012,-123.03333,37.72205925,-123.034215
FNR0911250603,FNT04_25,FN06,REF,2.963888889,17,5.735707591162672,37.723548889999996,-123.03405,37.72378922,-123.03237,37.723669055,-123.03321
FNR1008250401,FNT06_25,FN04,REF,2.25,38,16.88888888888889,37.71837997,-123.04483,37.72061157,-123.04335,37.71949577,-123.04409000000001
FNR1008250402,FNT06_25,FN04,REF,2.266666667,22,9.705882351513841,37.71879959,-123.04413,37.7209816,-123.04348,37.719890595,-123.04380499999999
FNR1008250403,FNT06_25,FN04,REF,2.233333333,31,13.880597016997104,37.71857071,-123.04306,37.72021866,-123.04329,37.719394685,-123.04317499999999
FNR1008250501,FNT06_25,FN05,REF,2.25,22,9.777777777777779,37.71868896,-123.0399,37.72040939,-123.03701,37.719549175,-123.038455
FNR1008250502,FNT06_25,FN05,REF,2.14,23,10.74766355140187,37.71926117,-123.04097,37.72108841,-123.03876,37.72017479,-123.03986499999999
FNR1008250503,FNT06_25,FN05,REF,2.256666667,19,8.41949778309904,37.72006989,-123.04114,37.72169113,-123.03919,37.72088051,-123.040165
FNR1008250701,FNT06_25,FN07,REF,2.25,47,20.88888888888889,37.71348953,-123.04604,37.71532059,-123.04607,37.71440506,-123.046055
FNR1008250702,FNT06_25,FN07,REF,2.25,38,16.88888888888889,37.71305847,-123.04532,37.71472931,-123.04563,37.71389389,-123.04547500000001
FNR1008250703,FNT06_25,FN07,REF,2.25,36,16,37.71261978,-123.04501,37.71511078,-123.04526,37.71386528,-123.045135
FNR1008250901,FNT06_25,FN09,REF,2.25,23,10.222222222222221,37.715271,-123.03365,37.71818924,-123.03427,37.71673012,-123.03396000000001
FNR1008250902,FNT06_25,FN09,REF,2.25,22,9.777777777777779,37.71541977,-123.03227,37.71833038,-123.03337,37.716875075,-123.03282
FNR1008250903,FNT06_25,FN09,REF,2.25,33,14.666666666666666,37.71520996,-123.03333,37.71796036,-123.03476,37.71658516,-123.034045
PLM0722251001,PLT01_25,PL10,MPA,0.963333333,33,34.25605537517511,36.50790024,-121.94691,36.50786972,-121.9469,36.50788498,-121.946905
PLM0722251002,PLT01_25,PL10,MPA,1.54,26,16.883116883116884,36.50799942,-121.94733,36.50791931,-121.94583,36.507959365,-121.94658
PLM0722251003,PLT01_25,PL10,MPA,2.963333333,131,44.206974133206636,36.51054001,-121.94961,36.51108932,-121.94751,36.510814665,-121.94856
PLM0722251004,PLT01_25,PL10,MPA,2.95,67,22.71186440677966,36.5103302,-121.9498,36.51052856,-121.9487,36.51042938,-121.94925
PLM0722251101,PLT01_25,PL11,MPA,2.8,127,45.35714285714286,36.48971939,-121.95069,36.49293137,-121.95075,36.49132538,-121.95071999999999
PLM0722251102,PLT01_25,PL11,MPA,3,107,35.666666666666664,36.48918152,-121.95024,36.4922905,-121.95016,36.490736010000006,-121.9502
PLM0722251103,PLT01_25,PL11,MPA,2.693333333,137,50.8663366399587,36.48863983,-121.95175,36.49140167,-121.95154,36.49002075,-121.951645
PLM0723250701,PLT02_25,PL07,MPA,2.25,42,18.666666666666668,36.52524185,-121.95192,36.52565002,-121.95093,36.525445935,-121.951425
PLM0723250702,PLT02_25,PL07,MPA,2.25,78,34.666666666666664,36.52555084,-121.95467,36.52552032,-121.95345,36.525535579999996,-121.95406
PLM0723250703,PLT02_25,PL07,MPA,2.25,80,35.55555555555556,36.52643967,-121.95124,36.5259285,-121.95031,36.526184085,-121.950775
PLM0723250901,PLT02_25,PL09,MPA,2.25,100,44.44444444444444,36.51274109,-121.95312,36.51395035,-121.95338,36.513345720000004,-121.95325
PLM0723250902,PLT02_25,PL09,MPA,2.25,30,13.333333333333334,36.51237869,-121.95382,36.51364899,-121.954,36.51301384,-121.95391
PLM0723250903,PLT02_25,PL09,MPA,2.25,108,48,36.51163101,-121.95506,36.51290131,-121.9552,36.512266159999996,-121.95513
PLM0723251101,PLT02_25,PL11,MPA,2.25,150,66.66666666666667,36.48983002,-121.95098,36.49185944,-121.95107,36.49084473,-121.951025
PLM0723251102,PLT02_25,PL11,MPA,2.25,103,45.77777777777778,36.48928833,-121.94984,36.49180984,-121.95048,36.490549085,-121.95016
PLM0723251103,PLT02_25,PL11,MPA,2.25,123,54.666666666666664,36.48880005,-121.95074,36.4920311,-121.95073,36.490415575,-121.950735
PLM0723251301,PLT02_25,PL13,MPA,2.25,65,28.88888888888889,36.48664093,-121.9493,36.48614883,-121.94967,36.48639488,-121.949485
PLM0723251302,PLT02_25,PL13,MPA,2.2,77,35,36.48743057,-121.95074,36.48777008,-121.95072,36.487600325,-121.95073
PLM0723251303,PLT02_25,PL13,MPA,2.25,136,60.44444444444444,36.48563004,-121.9519,36.48640823,-121.95183,36.486019135,-121.951865
PLM0812250901,PLT04_25,PL09,MPA,2.5,58,23.2,36.51493073,-121.95387,36.5135498,-121.95248,36.514240265,-121.95317499999999
PLM0812250902,PLT04_25,PL09,MPA,2.508333333,61,24.318936880308165,36.51496887,-121.95448,36.51388931,-121.95334,36.51442909,-121.95391000000001
PLM0812250903,PLT04_25,PL09,MPA,2.491666667,57,22.87625417754164,36.51446915,-121.95511,36.51398087,-121.9539,36.51422501,-121.95450500000001
PLM0812251101,PLT04_25,PL11,MPA,2.511111111,87,34.64601770064805,36.49277115,-121.9511,36.48907089,-121.95107,36.49092102,-121.951085
PLM0812251102,PLT04_25,PL11,MPA,2.505555556,88,35.12195121328214,36.49274063,-121.95229,36.48931885,-121.95116,36.49102974,-121.95172500000001
PLM0812251103,PLT04_25,PL11,MPA,2.483333333,70,28.187919466870863,36.49287033,-121.95039,36.48973083,-121.94982,36.49130058,-121.95010500000001
